chamber,congress,year,party.mean.diff.d1,prop.moderate.d1,prop.moderate.dem.d1,prop.moderate.rep.d1,overlap,chamber.mean.d1,chamber.mean.d2,dem.mean.d1,dem.mean.d2,rep.mean.d1,rep.mean.d2,north.rep.mean.d1,north.rep.mean.d2,south.rep.mean.d1,south.rep.mean.d2,north.dem.mean.d1,north.dem.mean.d2,south.dem.mean.d1,south.dem.mean.d2,mean_weight,mean_contrib
House,77,1941,0.5705085403726708,0.4622222222222222,0.5289855072463768,0.35119047619047616,0.21171171171171171,-0.04407555555555555,0.06526666666666667,-0.2575978260869565,0.2623876811594203,0.31291071428571426,-0.24004166666666665,0.3123012048192771,-0.2466024096385542,0.3635,0.3045,-0.3327361963190184,-0.10101840490797546,-0.14921238938053097,0.7865929203539823,0.8130841121495327,0.4638714300226389
Senate,77,1941,0.471810502283105,0.5523809523809524,0.5616438356164384,0.5,0.18446601941747573,-0.07696190476190476,0.20517142857142856,-0.21764383561643835,0.3073013698630137,0.25416666666666665,-0.09436666666666668,0.25416666666666665,-0.09436666666666668,NA,NA,-0.2484772727272727,0.1821818181818182,-0.17086206896551723,0.4971379310344827,0.18691588785046728,0.0881888789314215
House,78,1943,0.5502947448897473,0.4577777777777778,0.5526315789473685,0.3532110091743119,0.2130044843049327,0.01917111111111111,0.04277555555555555,-0.2485745614035088,0.36193859649122806,0.3017201834862385,-0.28126146788990825,0.3006093023255814,-0.2889860465116279,0.3813333333333333,0.2723333333333333,-0.3594695652173913,-0.06035652173913043,-0.13571681415929204,0.79170796460177,0.8130841121495327,0.4474359140692338
Senate,78,1943,0.48687142857142857,0.5242718446601942,0.6,0.4047619047619048,0.2058823529411765,0.00575728155339805,0.13472815533980584,-0.19513333333333333,0.2798,0.29173809523809524,-0.09192857142857142,0.2831951219512195,-0.10685365853658536,0.642,0.52,-0.23494594594594595,0.11543243243243242,-0.13108695652173913,0.5442173913043478,0.18691588785046728,0.09100400534045393
House,79,1945,0.5680604102564102,0.43847874720357943,0.492,0.3692307692307693,0.20898876404494385,-0.01662192393736018,0.07987248322147651,-0.264604,0.3379,0.30345641025641024,-0.24404615384615383,0.30140104166666665,-0.25272916666666667,0.435,0.31166666666666665,-0.3686029411764706,-0.04815441176470588,-0.14053508771929824,0.7984561403508772,0.8130841121495327,0.46188089432063256
Senate,79,1945,0.4939523809523809,0.5185185185185185,0.5538461538461539,0.4523809523809524,0.411214953271028,-0.02443518518518518,0.14375925925925925,-0.219,0.3218153846153846,0.27495238095238095,-0.151,0.266925,-0.16055,0.4355,0.04000000000000001,-0.2899473684210526,0.09597368421052632,-0.11914814814814814,0.6396666666666667,0.18691588785046728,0.09232754784156652
House,80,1947,0.5226686157858278,0.4855233853006682,0.5515463917525774,0.4387351778656126,0.2371364653243848,0.0550913140311804,0.03237416481069042,-0.23732474226804123,0.4874587628865979,0.28534387351778656,-0.3126600790513834,0.28542510121457493,-0.31919028340080974,0.282,-0.04383333333333333,-0.3661807228915663,0.03338554216867469,-0.14097297297297298,0.8269909909909909,0.8130841121495327,0.424973547414645
Senate,80,1947,0.4843162286191072,0.5102040816326531,0.6382978723404256,0.392156862745098,0.42857142857142855,0.06051020408163265,0.1181530612244898,-0.191531914893617,0.4662978723404255,0.2927843137254902,-0.20268627450980392,0.29020408163265304,-0.2132448979591837,0.356,0.05600000000000002,-0.2901739130434783,0.17330434782608695,-0.097,0.7470833333333333,0.18691588785046728,0.09052639787273031
House,81,1949,0.552574970207695,0.4179775280898877,0.41198501872659177,0.4318181818181818,0.22121896162528215,-0.05810786516853932,0.1116876404494382,-0.2755692883895131,0.357876404494382,0.2770056818181818,-0.25428409090909093,0.2775722543352601,-0.2573294797687861,0.24433333333333332,-0.07866666666666666,-0.3714903225806452,0.01563225806451612,-0.14282142857142857,0.8315178571428571,0.8130841121495327,0.44928992904737813
Senate,81,1949,0.5059253575165679,0.5462962962962963,0.5737704918032787,0.5106382978723404,0.35185185185185186,-0.01922222222222222,0.0789537037037037,-0.23939344262295079,0.3625901639344262,0.266531914893617,-0.28917021276595745,0.266531914893617,-0.28917021276595745,NA,NA,-0.31588235294117645,0.09194117647058823,-0.14307407407407408,0.7034074074074074,0.18691588785046728,0.09456548738627436
